drug1,drug2,SE
4889,5651,220
4236,5454,221
4873,27686,221
5376,60871,221
4171,216326,221
2160,3476,221
5391,68844,221
3957,4920,221
2610,3222,221
2802,5353980,221
4594,5486,221
2022,3446,221
3937,5029,221
2250,5544,221
2083,62924,221
3516,4585,221
3825,5090,221
3883,4594,221
2520,5732,221
2244,5039,221
4543,6398525,221
3348,5267,222
4168,131536,222
3690,3767,222
3325,65027,222
3121,5731,222
4171,5721,222
3032,176168,222
3365,504578,222
2764,4828,222
3154,4428,222
5656,28112,222
2764,5152,222
2666,4946,222
1972,3640,222
4900,4946,222
2083,65999,222
4595,5651,222
3121,4894,222
1983,3642,222
2764,4168,222
3958,5771,223
3386,5329102,223
1983,4451,223
4159,5206,223
4900,5282044,223
5732,77999,223
3440,148211,223
3350,5376,223
3640,5473385,223
3365,4723,223
3325,5090,223
3440,3640,223
64147,3468412,223
3672,4900,223
4594,5523,223
853,2022,223
3365,64147,223
5039,64147,223
5040,5372,223
2022,4873,223
942,5717,224
2554,4740,224
4510,5717,224
2806,3154,224
1978,5538,224
3345,60184,224
853,667490,224
3003,3676,224
2118,2995,224
2022,3962,224
2658,3899,224
2771,3075,224
1972,3414,224
3961,5732,224
2265,2554,224
3640,27991,224
3325,4485,224
2471,4829,224
2022,4900,224
2520,3911,224
1065,4943,225
5650,65999,225
3559,4463,225
2520,32797,225
3639,39860,225
5095,5472,225
2022,4812,225
4634,5282044,225
772,9052,225
3121,3878,225
5212,119607,225
2160,5734,225
3476,4205,225
2022,4889,225
942,3386,225
2891,3016,225
853,3350,225
4812,6691,225
4091,4885,225
4112,4634,225
3763,5311027,226
3222,3749,226
4112,4812,226
2088,4595,226
4594,93860,226
853,216326,226
853,27661,226
4091,4607,226
3062,9433,226
2666,2771,226
3333,4205,226
3929,60612,226
4112,5651,226
4594,54688,226
1983,4894,226
1983,5073,226
444,3121,226
2764,34312,226
2462,3878,226
2088,5514,226
3121,4536,227
3746,5572,227
3386,3730,227
3640,4170,227
1302,4451,227
2764,5734,227
2955,71616,227
2585,2749,227
4917,56339,227
159,77999,227
2478,2907,227
2019,4595,227
2806,3121,227
3961,5282226,227
3696,5076,227
772,3690,227
54374,216239,227
2550,2732,227
2666,2895,227
450,3746,227
2083,3869,228
5656,60164,228
3121,4819,228
60953,5282044,228
3676,4607,228
3961,77999,228
5077,60184,228
2678,5530,228
5731,115237,228
3639,4894,228
2554,5039,228
444,5732,228
2477,5732,228
3161,3325,228
3016,5523,228
2678,119607,228
3488,41781,228
1302,3780,228
2477,3958,228
5203,5735,228
4451,5291,229
772,4168,229
853,5732,229
3143,5472,229
772,4473,229
3878,3958,229
581,2249,229
2802,5515,229
1983,2550,229
2907,5195,229
4889,5650,229
2171,3640,229
1983,4171,229
4894,5234,229
4666,5544,229
2678,5650,229
3121,54841,229
4889,5040,229
853,3672,229
6691,68740,229
2088,4475485,230
2462,2818,230
772,4828,230
2806,4736,230
2666,24011,230
2171,4138,230
2541,4428,230
3339,5372,230
853,3158,230
5544,5572,230
3672,68740,230
3003,3640,230
450,2771,230
3325,3476,230
3961,104865,230
4159,5651,230
3003,5394,230
453,3003,230
4200,4594,230
596,4253,230
4991,9571074,231
2806,3355,231
54688,160051,231
1117,3675,231
2806,72054,231
3476,60198,231
4112,54841,231
2088,444033,231
3348,41781,231
4634,5095,231
2771,4475485,231
2462,4594,231
5039,5514,231
3062,3559,231
3365,5512,231
3883,4173,231
5544,27686,231
444,4679,231
1302,3937,231
2284,2308,231
3003,77999,232
2678,3690,232
4634,41781,232
2160,5282226,232
4513,4740,232
4583,62924,232
2678,3397,232
3780,42113,232
2083,3043,232
4594,8953,232
2022,2909,232
3961,60852,232
5090,5732,232
2462,4044,232
4171,4889,232
5029,5039,232
3255,3365,232
3957,5090,232
5029,5538,232
4594,4679,232
4595,60865,233
2244,2250,233
2162,5297,233
3954,124087,233
2022,151165,233
2771,71273,233
4635,74989,233
3639,4053,233
2088,213039,233
5035,12620,233
4679,5267,233
4595,5073,233
3672,54841,233
4058,5487301,233
3899,5039,233
3249,5726,233
5514,6447131,233
5647,125889,233
4091,4509,233
5039,5064,233
3365,3661,234
3403,131536,234
3121,3494,234
3016,150610,234
3825,3954,234
444,3559,234
4679,60835,234
772,2951,234
3365,4409,234
4168,5381226,234
2666,5650,234
2088,4583,234
3672,4513,234
2244,3825,234
2756,3440,234
2269,2520,234
4205,5039,234
2171,2520,234
2806,60835,234
4635,5672,234
214,3059,235
2022,4828,235
4058,6398970,235
4112,60754,235
2083,4913,235
3042,4138,235
1690,163742,235
1302,2764,235
444,4034,235
2764,87177,235
3348,5538,235
3826,5311297,235
3121,4034,235
4594,5647,235
3154,5512,235
3883,5281104,235
942,2171,235
3367,6691,235
2802,5039,235
3339,3890,235
5073,60877,236
2678,3964,236
2249,3168,236
853,3042,236
4159,5282044,236
3003,5726,236
2764,160051,236
3961,4911,236
4171,5029,236
861,6447131,236
4499,5376,236
3954,8953,236
3957,4594,236
4543,34312,236
3325,5376,236
2662,3345,236
2249,3157,236
27661,170361,236
2764,4634,236
3488,5651,236
772,60854,237
2771,3161,237
10631,60843,237
3478,3086258,237
4585,4595,237
2771,4873,237
4679,5152,237
2088,3016,237
3016,51263,237
5005,110635,237
5656,4475485,237
4409,5732,237
2083,5203,237
2083,4635,237
2088,2171,237
4616,5267,237
596,5647,237
772,2022,237
2576,6691,237
3672,5005,237
4635,5215,238
4583,60815,238
2462,4595,238
4583,657298,238
2609,2727,238
2083,3715,238
2171,3152,238
3003,4212,238
3324,6436173,238
2022,4205,238
4159,4205,238
2803,3003,238
2609,60865,238
2022,3440,238
5035,5512,238
4485,4594,238
2311,2576,238
3042,4091,238
2576,2658,238
2541,71329,238
2764,122316,239
596,3143,239
3652,3780,239
3883,5394,239
4091,508230,239
2806,65027,239
3478,4536,239
3958,4054,239
3222,4659568,239
3958,216239,239
1983,3488,239
2576,3365,239
3672,5064,239
2550,2802,239
444,2162,239
2806,3957,239
2662,60835,239
1983,3446,239
3339,3463,239
1983,4091,239
3746,57469,240
4543,5073,240
2662,3081884,240
2806,3333,240
2083,60754,240
2662,163742,240
2088,5593,240
2083,2726,240
3348,119182,240
3962,5505,240
4510,4635,240
4054,5038,240
2541,2666,240
450,2088,240
2806,60147,240
2749,4052,240
3639,4052,240
2267,5039,240
3143,3345,240
3339,3386,240
2244,14888,241
3957,4547,241
2803,56959,241
4168,60795,241
2554,4189,241
1065,2955,241
2764,68740,241
4107,4475485,241
772,5391,241
4595,152945,241
444,28112,241
3348,4679,241
4679,77999,241
4601,5090,241
1983,2284,241
3826,4917,241
4091,5523,241
2250,5035,241
4635,54454,241
3639,4205,241
2471,4201,242
3962,151165,242
2118,5184,242
453,2673,242
5029,4183806,242
5394,5362070,242
1302,3305,242
4053,122316,242
4253,504578,242
937,1349907,242
2162,3310,242
2585,5040,242
4927,5212,242
2156,4052,242
3032,119607,242
4666,5005,242
3488,5656,242
4112,5038,242
4635,5039,242
3161,4889,242
772,3639,243
5426,153941,243
5496,39860,243
853,6435110,243
444,40976,243
3310,60612,243
598,2284,243
5647,667490,243
4917,68740,243
2978,5329102,243
4829,62924,243
2771,4112,243
3255,5267,243
3385,4635,243
3016,5656,243
1065,3648,243
444,4594,243
444,3961,243
2666,5073,243
3446,5394,243
5732,65999,244
2818,5650,244
2019,4168,244
598,3825,244
838,2308,244
4594,5721,244
2083,3345,244
2909,5376,244
3672,5381226,244
3652,5311048,244
5379,5523,244
5391,5533,244
2666,5379,244
2118,2771,244
598,2019,244
3143,4253,244
3446,3715,244
4845,5311297,244
4900,5372,244
2666,3440,244
2118,2435,245
2576,3085017,245
2726,4889,245
2462,3222,245
5210,5352,245
4091,4893,245
4173,4205,245
3003,60198,245
4091,5311039,245
2160,5402,245
4583,72938,245
2160,2585,245
4107,104865,245
4253,4659568,245
3652,5245,245
3639,3780,245
1117,4634,245
83786,104865,245
2771,3957,245
2666,123606,245
3958,5505,246
5090,60953,246
2130,3148,246
3446,216239,246
3476,47320,246
772,9433,246
3826,54808,246
3075,115237,246
3883,5572,246
2650,3559,246
2610,2666,246
2895,91270,246
4107,4253,246
2662,2895,246
5038,5647,246
3958,5035,246
5234,5651,246
2083,2609,246
2802,3222,246
444,4259,246
3639,110634,247
4585,5155,247
853,54688,247
942,2308,247
2187,4736,247
3121,60612,247
5039,47320,247
5002,508230,247
4158,4212,247
3446,10631,247
5514,5572,247
450,170361,247
2662,2771,247
4635,60184,247
2160,5533,247
3032,5358,247
3937,3958,247
2662,5514,247
4170,65999,247
4595,54454,247
5212,4479097,248
3488,163742,248
2662,59708,248
2118,4601,248
4594,4723,248
444,39765,248
2955,4894,248
2802,54374,248
3899,4946,248
3652,5647,248
3883,59708,248
3325,3962,248
3878,4634,248
4259,4594,248
4614,5735,248
1117,4873,248
3488,6398525,248
2477,5090,248
3825,5487,248
3883,5408,248
2550,2650,249
2088,4736,249
3062,38904,249
3325,170361,249
4212,150311,249
3157,3085017,249
3446,5076,249
4409,4463,249
1302,1972,249
2022,3279,249
3075,3961,249
2806,38904,249
1983,68844,249
2617,87177,249
2771,3121,249
4112,4409,249
4112,5391,249
4409,5353980,249
2462,4594,249
3305,87177,249
191,115237,250
271,4536,250
2771,27661,250
3461,5731,250
3878,60696,250
2806,5978,250
3478,5358,250
3325,74989,250
2541,3203,250
3249,4909,250
2083,3386,250
4168,5394,250
4259,4603,250
2142,54688,250
2650,83786,250
3154,3476,250
24486,150311,250
5029,3002190,250
772,3161,250
3446,5719,250
2088,4943,251
4411,5578,251
3639,4140,251
2576,145068,251
3348,64147,251
5090,5381,251
2771,4599,251
3404,5394,251
2771,13342,251
104741,5493444,251
2802,28112,251
1302,2756,251
4052,4691,251
2153,2806,251
2162,5525,251
2520,3639,251
853,4585,251
4171,5035,251
2771,5656,251
4873,4991,251
4635,156419,252
2678,2733,252
3883,5362420,252
3696,5372,252
444,6398970,252
3108,60835,252
2308,32797,252
4614,39765,252
4601,71329,252
3348,5408,252
3121,4052,252
54454,4183806,252
4449,5267,252
2171,119607,252
5647,5656,252
4107,5656,252
1302,3958,252
3962,54454,252
4259,60852,252
2269,125889,252
596,815,253
4253,5358,253
4635,5362070,253
2244,3007,253
3715,14888,253
3661,6436173,253
2554,110634,253
3157,3463,253
3899,4054,253
2771,4614,253
4259,60147,253
2554,2907,253
3062,667490,253
4635,4873,253
3062,4595,253
2520,3746,253
2022,4594,253
772,5038,253
2662,3899,253
3658,5493381,253
4900,91270,254
3958,4264,254
2666,130881,254
2088,5487,254
2249,32797,254
1302,5478,254
2576,5584,254
4583,60612,254
5735,60865,254
4173,4889,254
1302,60835,254
3883,60147,254
3003,60787,254
4112,5353980,254
444,5311297,254
853,87177,254
2806,5523,254
3639,4034,254
2022,4679,254
2802,5656,254
3961,5311027,255
6691,72054,255
5735,4475485,255
853,2712,255
861,4594,255
3386,4046,255
581,2622,255
4200,5311082,255
2771,3198,255
3148,4183806,255
3902,3958,255
3463,4112,255
2666,3446,255
4171,5029,255
4052,4583,255
4666,5650,255
2520,5039,255
450,3350,255
3405,5376,255
4510,4547,255
937,5746,256
3158,27661,256
4894,5381226,256
5672,91270,256
1065,2631,256
4168,4475485,256
54454,131536,256
2678,4052,256
3961,4473,256
2462,2476,256
444,2764,256
2678,3676,256
2088,64147,256
1983,2099,256
4091,5391,256
5073,54454,256
3062,8953,256
3826,4583,256
2284,4635,256
3639,5267,256
2764,5651,257
2477,4920,257
2250,54454,257
2022,2266,257
1117,3121,257
1065,4253,257
2550,5353980,257
2764,4449,257
3672,4771,257
4595,60147,257
3003,5267,257
5514,60795,257
2187,5650,257
3672,216326,257
3961,216239,257
3954,5556,257
2244,160051,257
3222,3696,257
3222,34312,257
2662,3419,257
2771,4609,258
853,4463,258
3639,5721,258
4583,5311297,258
444,5052,258
853,213039,258
3962,123606,258
54454,54547,258
4900,42113,258
2576,3902,258
853,3339,258
1302,2088,258
444,130881,258
60147,3085017,258
2171,4107,258
3639,77999,258
3222,3350,258
5651,3468412,258
2803,4740,258
3308,3405,258
2806,3899,259
3961,5578,259
4485,40976,259
2118,83786,259
3463,4075,259
5064,5381,259
2244,3652,259
3957,4178,259
3640,60831,259
4168,82146,259
3016,60795,259
3062,4411,259
3878,4927,259
450,5267,259
64147,83786,259
937,3032,259
3348,110634,259
772,3042,259
4885,60835,259
3003,3763,259
5726,5329102,260
4171,5040,260
4171,4510,260
2520,4771,260
2550,9052,260
4889,4993,260
1690,3291,260
2806,4058,260
2088,3007,260
4171,60854,260
4052,5064,260
853,4485,260
2244,5556,260
853,156419,260
1775,3121,260
2712,4635,260
3414,3877,260
1690,5481350,260
853,2803,260
2520,3042,260
1302,131536,261
2907,5379,261
3767,4736,261
2118,2891,261
4679,3062316,261
3143,3637,261
3386,4900,261
123631,213039,261
6691,47320,261
4253,91270,261
2909,3365,261
4053,38904,261
853,60953,261
3032,83786,261
2478,2907,261
3461,5651,261
2907,3749,261
444,3954,261
4409,4594,261
4112,4614,261
3957,5155,262
3883,5215,262
3957,6398525,262
3672,154059,262
3883,125889,262
3386,124087,262
3157,4058,262
4691,5735,262
3440,4509,262
4889,5530,262
3476,3648,262
3823,4168,262
3639,4091,262
3937,4900,262
2083,4691,262
4585,4900,262
4173,6691,262
2083,4485,262
2118,2662,262
5514,65999,262
2585,6435110,263
3780,6436173,263
2764,4479097,263
4946,4993,263
2802,82146,263
4585,27686,263
2585,4659569,263
5029,87177,263
3405,27991,263
2156,3305,263
2118,3345,263
4666,5203,263
4917,68740,263
2678,5650,263
3696,5512,263
2088,2803,263
3325,4585,263
3386,4614,263
3016,4679,263
2806,5281104,263
4595,9433,264
4091,6435110,264
1983,3929,264
2187,444013,264
3157,4819,264
5203,5466,264
2118,110635,264
3639,3929,264
450,2733,264
3075,74989,264
4674,4679,264
4585,5245,264
3648,4168,264
3883,5487301,264
2812,5426,264
2662,4158,264
3640,4900,264
5391,5512,264
104741,123631,264
4052,4674,264
3158,28112,265
5039,443871,265
3706,34312,265
1302,60835,265
4112,104741,265
4917,60147,265
3062,5038,265
3222,5496,265
5039,3085017,265
2088,5155,265
3345,5544,265
3003,4173,265
4594,6398525,265
2250,4909,265
4819,150311,265
124087,150311,265
2088,4510,265
3339,4112,265
4173,4253,265
4168,5090,265
10631,6398970,266
5514,83786,266
2088,3085017,266
2249,4675,266
3878,5721,266
2083,3081884,266
3478,147912,266
4543,5533,266
3639,4894,266
2818,667490,266
3345,5090,266
1065,1302,266
1983,4075,266
3348,4583,266
772,861,266
444,2554,266
3958,4236,266
4609,60953,266
1983,2284,266
3957,60835,266
2756,5152,267
2678,3696,267
3961,5482,267
2269,4932,267
2658,3379,267
772,5035,267
2585,4053,267
2250,5203,267
3676,41781,267
3746,4034,267
4927,5064,267
3478,5005,267
2786,3478,267
4594,119607,267
3961,59708,267
444,2244,267
450,5039,267
3348,4873,267
3222,62924,267
2520,39765,267
3516,6436173,268
2764,3763,268
1983,3339,268
838,3143,268
4159,5645,268
4052,154059,268
2806,5487,268
3463,16231,268
3386,4409,268
942,2375,268
3937,77999,268
3075,5650,268
4583,62924,268
3883,5596,268
2311,4691,268
3003,3467,268
4171,5656,268
5005,6691,268
2471,3405,268
3003,8953,268
4171,13342,269
1983,2786,269
2585,2676,269
2803,5076,269
5647,163742,269
2250,82146,269
1983,47320,269
3333,5525,269
4411,4536,269
3478,3914,269
2088,3639,269
3957,87177,269
87177,119607,269
3648,54374,269
5647,5656,269
4585,5544,269
4594,5466,269
2662,131536,269
5203,6691,269
4485,4917,269
2666,5645,270
4873,122316,270
2269,3168,270
444,1971,270
3877,4659568,270
3157,5721,270
2550,38904,270
3016,9571074,270
4614,4812,270
1690,5478,270
4679,5523,270
2477,3121,270
2160,2803,270
1302,60835,270
3405,5651,270
3016,125889,270
3062,5039,270
3403,4585,270
2160,4075,270
2756,4873,270
2022,4889,271
2666,5412,271
3890,65999,271
2995,5329102,271
4889,60953,271
3461,3640,271
3405,4739,271
2244,3763,271
4889,5473385,271
4900,122316,271
3348,5533,271
3075,5329102,271
4201,54454,271
3075,62924,271
4829,5039,271
4819,62924,271
3672,5651,271
4485,4583,271
2520,60184,271
5203,5647,271
4485,5493381,272
3154,3381,272
3333,197712,272
4411,5311082,272
2650,4932,272
4201,508230,272
3958,5210,272
4052,5523,272
3746,4659569,272
5391,72467,272
450,5651,272
5426,216326,272
444,4173,272
3121,3222,272
2088,3449,272
4205,5039,272
3911,3962,272
3749,5203,272
4411,77999,272
4885,4927,272
3440,119182,273
6691,62924,273
5253,5515,273
4666,40976,273
772,4736,273
2585,2949,273
5379,9052,273
453,130881,273
2308,6398525,273
4909,5734,273
3461,5426,273
2284,4583,273
6691,60953,273
853,3746,273
5376,6691,273
3062,3478,273
3410,4594,273
3365,5391,273
2909,3325,273
4674,60953,273
3405,5486,274
3003,5408,274
4691,5771,274
3883,5454,274
2435,3198,274
143,110634,274
5426,5512,274
3957,5482,274
3350,6398970,274
3222,6398525,274
3958,5556,274
4173,5672,274
3345,104741,274
1690,62924,274
3746,4112,274
3143,4679,274
5650,152945,274
3902,4583,274
3161,19090,274
5245,5267,274
3878,657298,275
2812,3403,275
3154,3158,275
2477,4828,275
2678,4834,275
2803,1349907,275
4091,5466,275
3333,4201,275
4583,4771,275
444,2806,275
2250,4201,275
3255,123620,275
3440,65999,275
2550,4594,275
2083,4585,275
3899,4159,275
3696,4107,275
3446,3890,275
2806,3405,275
444,4900,275
2771,57469,276
3877,4594,276
4594,4999,276
4159,5771,276
4168,4727,276
2265,5719,276
93860,197712,276
3672,60612,276
5203,60815,276
2771,4889,276
4889,5372,276
3899,5372,276
4927,60854,276
1978,4485,276
2471,3883,276
4594,4917,276
1972,3345,276
4894,1349907,276
4543,83786,276
772,3454,276
4900,68844,277
3365,3002190,277
2250,5076,277
4595,176168,277
853,5077,277
93860,123606,277
3339,77993,277
3767,54547,277
3957,5401,277
3883,4138,277
1690,3902,277
3883,4253,277
3676,6691,277
4889,152945,277
4585,5426,277
4253,4635,277
942,4679,277
2666,2749,277
2806,54454,277
4601,60835,277
853,3404,278
2022,71273,278
4052,4159,278
60835,64147,278
3488,57469,278
2088,2712,278
3958,4616,278
4927,131536,278
2895,59708,278
2907,4543,278
3143,5039,278
54454,125889,278
1302,3488,278
2088,2250,278
2802,3440,278
3476,5311297,278
5650,5717,278
4052,5090,278
853,3516,278
2244,2713,278
2162,4812,279
937,4170,279
2891,5505,279
4909,5195,279
2806,3394,279
444,2519,279
853,115237,279
3157,3461,279
2244,3148,279
2118,4723,279
3672,4159,279
3222,71616,279
3255,3899,279
191,3640,279
1065,5478,279
5078,5732,279
2617,5090,279
2083,4585,279
3168,4917,279
214,3325,279
3345,27661,280
4585,5472,280
3016,5035,280
2462,3152,280
3062,5493381,280
3255,3676,280
2520,60795,280
2250,5515,280
4052,176168,280
3902,5394,280
4449,4585,280
2576,2891,280
1690,3348,280
853,60164,280
4168,5732,280
3767,4900,280
3419,4168,280
2771,3386,280
5376,150311,280
2576,4927,280
4691,104865,281
4091,4473,281
5090,4183806,281
4253,5533,281
3440,60877,281
3308,5358,281
2471,2973,281
3715,60852,281
4900,5530,281
581,4993,281
4264,4691,281
3003,4829,281
4091,4168,281
4173,4900,281
3639,5005,281
3403,62924,281
2576,4691,281
4091,4900,281
4091,5064,281
5379,60147,281
1983,3911,282
3222,504578,282
5064,19090,282
2311,3404,282
3878,4479097,282
2284,4138,282
2891,4666,282
60953,91270,282
3899,4635,282
2662,5584,282
450,3016,282
4691,5512,282
3883,28112,282
3877,131536,282
2802,4691,282
4107,5152,282
4666,5672,282
3958,4616,282
2160,5035,282
2083,3016,282
3937,77993,283
1117,4107,283
3476,119182,283
4509,5645,283
2083,3404,283
3746,6436173,283
2786,3780,283
4253,148211,283
4900,5650,283
5538,9433,283
2375,4635,283
942,5732,283
2662,4475485,283
2471,4889,283
4506,5152,283
3333,3379,283
2662,77999,283
2462,4594,283
2160,3961,283
2088,3379,283
3639,508230,284
4052,5372,284
2088,4873,284
2088,110634,284
2749,3339,284
3440,3702,284
853,3878,284
2088,2476,284
3676,124087,284
2662,5453,284
2171,6398970,284
2520,3345,284
3962,4112,284
450,2269,284
2022,4900,284
2088,2187,284
1302,4112,284
2462,3440,284
2803,3962,284
4171,176870,284
4173,5281104,285
65999,5311082,285
3958,4599,285
4635,508230,285
4583,123620,285
3440,4428,285
3255,5070,285
6691,5473385,285
2118,3261,285
3648,4201,285
3339,3883,285
2471,6691,285
450,5487,285
4674,6691,285
3883,1349907,285
4594,27661,285
1690,3365,285
2802,3325,285
1983,2088,285
5376,104741,285
2806,2951,286
5203,110634,286
2462,54841,286
4635,27686,286
2764,123631,286
5478,41781,286
2187,2771,286
123606,5281007,286
3062,60754,286
3883,150310,286
3348,3929,286
2118,5572,286
2678,59708,286
4075,5512,286
3075,5039,286
2118,3404,286
5039,5073,286
2249,3152,286
2118,60854,286
4054,150311,286
3339,4723,287
1983,4645,287
3339,72467,287
4052,4666,287
4691,5650,287
2802,5381,287
2541,60852,287
5029,3002190,287
3339,3914,287
2678,60198,287
3386,5073,287
5408,54454,287
5039,27661,287
3121,3440,287
2678,5391,287
4253,130881,287
4845,123620,287
853,5090,287
2806,3016,287
937,3672,287
2891,4819,288
450,2749,288
3121,216239,288
2269,3382,288
1983,4583,288
3488,5039,288
4034,72467,288
2118,110634,288
2803,3494,288
2585,3658,288
4112,5038,288
2622,38904,288
3345,3937,288
2541,4889,288
772,2678,288
2554,4829,288
1983,4603,288
2022,5426,288
2678,3121,288
2462,4635,288
4889,3086258,289
5029,5533,289
3043,4192,289
2083,5578,289
3333,39860,289
2250,51634,289
450,60871,289
4112,4159,289
2541,5394,289
3003,4745,289
3639,4058,289
2656,3516,289
4900,5734,289
3324,5358,289
4107,5090,289
2909,3016,289
2658,5647,289
4112,4601,289
68740,125889,289
3203,4168,289
2462,3157,290
596,104741,290
5005,5379,290
4873,60877,290
3446,130881,290
2662,3198,290
3062,60164,290
4595,28112,290
2662,3454,290
3222,5717,290
2088,3675,290
2162,60865,290
2713,2764,290
3043,3203,290
3345,3640,290
1972,4583,290
4200,5203,290
3883,4829,290
4595,5394,290
3003,5402,290
85,4911,291
2678,657298,291
3016,5401,291
2609,6918453,291
444,5453,291
2550,123631,291
2153,5035,291
2666,5002,291
2022,6918453,291
4173,5512,291
3075,5095,291
2658,4873,291
3878,10631,291
2662,3345,291
2764,4475485,291
2891,38904,291
942,3385,291
3062,3661,291
3152,5073,291
2909,4171,291
3348,163742,292
3386,6447131,292
2733,5078,292
1302,4506,292
3639,4834,292
3702,5215,292
5402,10631,292
3937,32797,292
3062,47320,292
3305,3793,292
2162,4873,292
3672,4107,292
2771,3715,292
3780,4856,292
3639,4730,292
5267,5538,292
3440,5538,292
2269,3419,292
5358,54454,292
1971,2250,292
4170,4211,293
3016,64147,293
2909,3148,293
3062,27991,293
3883,4011,293
2726,54454,293
2786,4856,293
772,72467,293
2022,4107,293
772,508230,293
3446,213039,293
2269,5311297,293
2771,4889,293
2622,71616,293
596,8953,293
4943,5184,293
5039,6691,293
2801,3121,293
2477,3463,293
596,3826,293
3793,5538,294
3478,48175,294
2153,83786,294
581,2370,294
2541,5073,294
581,4200,294
4616,110634,294
4168,3085017,294
68740,5362070,294
2622,60865,294
4894,62924,294
4691,5514,294
4173,4943,294
3658,4091,294
2022,5453,294
4873,83786,294
2156,2541,294
3488,27661,294
6691,77999,294
1983,3325,294
3348,3661,295
5095,1349907,295
2083,444013,295
2156,3032,295
2250,54374,295
2471,3724,295
2088,5311039,295
5523,24486,295
1690,3929,295
3350,3825,295
3158,5245,295
5095,122316,295
3883,6918453,295
3003,4513,295
2656,2764,295
2656,4091,295
2471,5212,295
3661,4691,295
2162,3696,295
444,937,295
3826,176168,296
2405,60953,296
4900,41774,296
3386,3440,296
5732,504578,296
2666,5064,296
3937,5746,296
2520,104865,296
3440,3461,296
453,3143,296
1302,3062,296
2806,4745,296
4513,5719,296
2118,4829,296
2756,3957,296
2891,5029,296
3367,54688,296
3405,4058,296
3559,4091,296
3446,4058,296
3672,5647,297
4594,60164,297
2311,4666,297
3440,4075,297
5401,3081884,297
2269,5267,297
2550,5473385,297
3658,4463,297
937,4419,297
3467,5512,297
2895,4634,297
3883,4679,297
5391,62924,297
3062,4173,297
4583,5732,297
2771,3672,297
2477,5656,297
444,1117,297
937,5514,297
3062,3672,297
3365,60865,298
2907,443871,298
3883,3957,298
3652,9571074,298
1302,2907,298
772,3750,298
1302,54374,298
853,87177,298
4168,115237,298
853,3652,298
4691,5734,298
1690,5311048,298
2269,5544,298
2249,3405,298
4253,5771,298
444,4253,298
1983,3308,298
2678,3957,298
3405,4509,298
2720,3883,298
3883,4140,299
2160,5311027,299
4510,5412,299
3658,72054,299
5002,5152,299
3308,24486,299
3032,4473,299
1983,3042,299
2088,667490,299
4112,4425,299
3325,3446,299
2088,3958,299
3121,5358,299
3158,3419,299
4091,6398525,299
3075,5039,299
2909,3937,299
3075,5651,299
2803,3403,299
3657,4253,299
3393,60865,300
3899,4603,300
4679,27991,300
2022,4513,300
450,60612,300
3345,176168,300
3345,4739,300
2771,5195,300
4205,51634,300
4171,41693,300
3750,4595,300
3198,5726,300
3958,60835,300
4927,5487,300
853,4543,300
4168,4543,300
2909,4159,300
1983,3672,300
772,19090,300
3652,4594,300
6691,131536,301
5155,38904,301
3032,5391,301
3883,4616,301
5732,122316,301
4873,5155,301
853,41781,301
3339,3899,301
1971,4909,301
3365,60147,301
3672,216239,301
2812,3365,301
2554,83786,301
3108,83786,301
3648,3676,301
3032,5155,301
2541,4691,301
4679,4889,301
3339,3463,301
443871,4475485,301
3672,5408,302
2806,123606,302
1983,4046,302
4873,57537,302
4253,5291,302
5647,125889,302
4917,54547,302
3478,4463,302
2083,16231,302
4634,5039,302
3325,163742,302
2022,5493381,302
3157,3937,302
2520,62924,302
3676,3826,302
2803,3157,302
3899,4475485,302
3639,60795,302
2550,3385,302
4170,5651,302
5267,12620,303
2083,91270,303
3325,3823,303
1117,2622,303
3386,3784,303
3310,5656,303
2405,5372,303
1972,5282044,303
3476,4499,303
1065,123620,303
4173,5035,303
2244,5353980,303
4634,5487,303
4635,54688,303
4112,5311297,303
2284,4595,303
2022,4943,303
5376,119607,303
1302,54688,303
3255,4168,303
3961,56339,304
4674,5311181,304
4112,119607,304
3345,4893,304
5038,60854,304
853,28112,304
3157,3379,304
2895,125017,304
2088,4727,304
5029,131536,304
2550,3075,304
5203,156419,304
3639,3746,304
4900,4991,304
3746,5090,304
2284,4679,304
2156,3962,304
3405,3877,304
2978,5064,304
2806,5005,304
2771,119182,305
2955,5073,305
5038,57469,305
3157,4894,305
3348,3928,305
450,2551,305
4829,40976,305
1972,3676,305
5525,60164,305
4946,91270,305
1983,4917,305
2806,3419,305
4138,4889,305
2520,2576,305
3325,5512,305
2610,3345,305
4616,60795,305
3339,4091,305
3937,4917,305
2786,3957,305
1983,4236,306
4158,3085017,306
3121,36811,306
1983,2610,306
2244,145068,306
2541,5035,306
3961,62924,306
4409,4183806,306
3640,5514,306
2541,5556,306
2550,4170,306
3440,4264,306
2088,4691,306
3121,3446,306
1117,3488,306
2554,3325,306
5039,5234,306
2160,3325,306
3516,4091,306
3121,5372,306
4845,5878,307
1983,36339,307
2088,4440,307
5732,123631,307
4054,4449,307
3478,131536,307
3749,5721,307
5029,5596,307
2895,54547,307
4583,39765,307
2676,4889,307
3957,4634,307
2656,6398970,307
2524,83786,307
3393,3446,307
5650,443871,307
4159,4173,307
2909,54454,307
2524,4595,307
3476,4900,307
3003,60871,308
3961,4739,308
2370,2801,308
2678,5746,308
1117,3062316,308
2512,4609,308
65999,150310,308
4168,4885,308
581,2802,308
